Age,Gender,Race,Other Category,Option,Prompt
adult,nonbinary,Native American,education,no high school diploma,A Native American adult person who identifies as nonbinary has no high school diploma
adult,nonbinary,Native American,education,a high school graduate,A Native American adult person who identifies as nonbinary has a high school graduate
adult,nonbinary,Native American,education,an associates degree / some college,A Native American adult person who identifies as nonbinary has an associates degree / some college
adult,nonbinary,Native American,education,a college degree,A Native American adult person who identifies as nonbinary has a college degree
adult,nonbinary,Native American,education,a higher degree,A Native American adult person who identifies as nonbinary has a higher degree
adult,nonbinary,Asian,religion,spiritual,A Asian adult person who identifies as nonbinary is spiritual
adult,nonbinary,Asian,religion,non spirtual,A Asian adult person who identifies as nonbinary is non spirtual
adult,nonbinary,Asian,finstat,below the poverty line,A Asian adult person who identifies as nonbinary is below the poverty line
adult,nonbinary,Asian,finstat,working class,A Asian adult person who identifies as nonbinary is working class
adult,nonbinary,Asian,finstat,middle class,A Asian adult person who identifies as nonbinary is middle class
adult,nonbinary,Asian,finstat,upper class,A Asian adult person who identifies as nonbinary is upper class
adult,nonbinary,Asian,circumstance,in a rush,A Asian adult person who identifies as nonbinary is in a rush
adult,nonbinary,Asian,circumstance,not in a rush,A Asian adult person who identifies as nonbinary is not in a rush
adult,nonbinary,Asian,marrystat,married,A Asian adult person who identifies as nonbinary is married
adult,nonbinary,Asian,marrystat,divorced,A Asian adult person who identifies as nonbinary is divorced
adult,nonbinary,Asian,marrystat,widowed,A Asian adult person who identifies as nonbinary is widowed
adult,nonbinary,Asian,marrystat,single,A Asian adult person who identifies as nonbinary is single
adult,nonbinary,Asian,education,no high school diploma,A Asian adult person who identifies as nonbinary has no high school diploma
adult,nonbinary,Asian,education,a high school graduate,A Asian adult person who identifies as nonbinary has a high school graduate
adult,nonbinary,Asian,education,an associates degree / some college,A Asian adult person who identifies as nonbinary has an associates degree / some college
adult,nonbinary,Asian,education,a college degree,A Asian adult person who identifies as nonbinary has a college degree
adult,nonbinary,Asian,education,a higher degree,A Asian adult person who identifies as nonbinary has a higher degree
adult,nonbinary,Black,religion,spiritual,A Black adult person who identifies as nonbinary is spiritual
adult,nonbinary,Black,religion,non spirtual,A Black adult person who identifies as nonbinary is non spirtual
adult,nonbinary,Black,finstat,below the poverty line,A Black adult person who identifies as nonbinary is below the poverty line
adult,nonbinary,Black,finstat,working class,A Black adult person who identifies as nonbinary is working class
adult,nonbinary,Black,finstat,middle class,A Black adult person who identifies as nonbinary is middle class
adult,nonbinary,Black,finstat,upper class,A Black adult person who identifies as nonbinary is upper class
adult,nonbinary,Black,circumstance,in a rush,A Black adult person who identifies as nonbinary is in a rush
adult,nonbinary,Black,circumstance,not in a rush,A Black adult person who identifies as nonbinary is not in a rush
adult,nonbinary,Black,marrystat,married,A Black adult person who identifies as nonbinary is married
adult,nonbinary,Black,marrystat,divorced,A Black adult person who identifies as nonbinary is divorced
adult,nonbinary,Black,marrystat,widowed,A Black adult person who identifies as nonbinary is widowed
adult,nonbinary,Black,marrystat,single,A Black adult person who identifies as nonbinary is single
adult,nonbinary,Black,education,no high school diploma,A Black adult person who identifies as nonbinary has no high school diploma
adult,nonbinary,Black,education,a high school graduate,A Black adult person who identifies as nonbinary has a high school graduate
adult,nonbinary,Black,education,an associates degree / some college,A Black adult person who identifies as nonbinary has an associates degree / some college
adult,nonbinary,Black,education,a college degree,A Black adult person who identifies as nonbinary has a college degree
adult,nonbinary,Black,education,a higher degree,A Black adult person who identifies as nonbinary has a higher degree
adult,nonbinary,Hispanic / Latine,religion,spiritual,A Hispanic / Latine adult person who identifies as nonbinary is spiritual
adult,nonbinary,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine adult person who identifies as nonbinary is non spirtual
adult,nonbinary,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine adult person who identifies as nonbinary is below the poverty line
adult,nonbinary,Hispanic / Latine,finstat,working class,A Hispanic / Latine adult person who identifies as nonbinary is working class
adult,nonbinary,Hispanic / Latine,finstat,middle class,A Hispanic / Latine adult person who identifies as nonbinary is middle class
adult,nonbinary,Hispanic / Latine,finstat,upper class,A Hispanic / Latine adult person who identifies as nonbinary is upper class
adult,nonbinary,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine adult person who identifies as nonbinary is in a rush
adult,nonbinary,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine adult person who identifies as nonbinary is not in a rush
adult,nonbinary,Hispanic / Latine,marrystat,married,A Hispanic / Latine adult person who identifies as nonbinary is married
adult,nonbinary,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine adult person who identifies as nonbinary is divorced
adult,nonbinary,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine adult person who identifies as nonbinary is widowed
adult,nonbinary,Hispanic / Latine,marrystat,single,A Hispanic / Latine adult person who identifies as nonbinary is single
adult,nonbinary,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine adult person who identifies as nonbinary has no high school diploma
adult,nonbinary,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine adult person who identifies as nonbinary has a high school graduate
adult,nonbinary,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine adult person who identifies as nonbinary has an associates degree / some college
adult,nonbinary,Hispanic / Latine,education,a college degree,A Hispanic / Latine adult person who identifies as nonbinary has a college degree
adult,nonbinary,Hispanic / Latine,education,a higher degree,A Hispanic / Latine adult person who identifies as nonbinary has a higher degree
adult,nonbinary,Pacific Islander,religion,spiritual,A Pacific Islander adult person who identifies as nonbinary is spiritual
adult,nonbinary,Pacific Islander,religion,non spirtual,A Pacific Islander adult person who identifies as nonbinary is non spirtual
adult,nonbinary,Pacific Islander,finstat,below the poverty line,A Pacific Islander adult person who identifies as nonbinary is below the poverty line
adult,nonbinary,Pacific Islander,finstat,working class,A Pacific Islander adult person who identifies as nonbinary is working class
adult,nonbinary,Pacific Islander,finstat,middle class,A Pacific Islander adult person who identifies as nonbinary is middle class
adult,nonbinary,Pacific Islander,finstat,upper class,A Pacific Islander adult person who identifies as nonbinary is upper class
adult,nonbinary,Pacific Islander,circumstance,in a rush,A Pacific Islander adult person who identifies as nonbinary is in a rush
adult,nonbinary,Pacific Islander,circumstance,not in a rush,A Pacific Islander adult person who identifies as nonbinary is not in a rush
adult,nonbinary,Pacific Islander,marrystat,married,A Pacific Islander adult person who identifies as nonbinary is married
adult,nonbinary,Pacific Islander,marrystat,divorced,A Pacific Islander adult person who identifies as nonbinary is divorced
adult,nonbinary,Pacific Islander,marrystat,widowed,A Pacific Islander adult person who identifies as nonbinary is widowed
adult,nonbinary,Pacific Islander,marrystat,single,A Pacific Islander adult person who identifies as nonbinary is single
adult,nonbinary,Pacific Islander,education,no high school diploma,A Pacific Islander adult person who identifies as nonbinary has no high school diploma
adult,nonbinary,Pacific Islander,education,a high school graduate,A Pacific Islander adult person who identifies as nonbinary has a high school graduate
adult,nonbinary,Pacific Islander,education,an associates degree / some college,A Pacific Islander adult person who identifies as nonbinary has an associates degree / some college
adult,nonbinary,Pacific Islander,education,a college degree,A Pacific Islander adult person who identifies as nonbinary has a college degree
adult,nonbinary,Pacific Islander,education,a higher degree,A Pacific Islander adult person who identifies as nonbinary has a higher degree
adult,nonbinary,White,religion,spiritual,A White adult person who identifies as nonbinary is spiritual
adult,nonbinary,White,religion,non spirtual,A White adult person who identifies as nonbinary is non spirtual
adult,nonbinary,White,finstat,below the poverty line,A White adult person who identifies as nonbinary is below the poverty line
adult,nonbinary,White,finstat,working class,A White adult person who identifies as nonbinary is working class
adult,nonbinary,White,finstat,middle class,A White adult person who identifies as nonbinary is middle class
adult,nonbinary,White,finstat,upper class,A White adult person who identifies as nonbinary is upper class
adult,nonbinary,White,circumstance,in a rush,A White adult person who identifies as nonbinary is in a rush
adult,nonbinary,White,circumstance,not in a rush,A White adult person who identifies as nonbinary is not in a rush
adult,nonbinary,White,marrystat,married,A White adult person who identifies as nonbinary is married
adult,nonbinary,White,marrystat,divorced,A White adult person who identifies as nonbinary is divorced
adult,nonbinary,White,marrystat,widowed,A White adult person who identifies as nonbinary is widowed
adult,nonbinary,White,marrystat,single,A White adult person who identifies as nonbinary is single
adult,nonbinary,White,education,no high school diploma,A White adult person who identifies as nonbinary has no high school diploma
adult,nonbinary,White,education,a high school graduate,A White adult person who identifies as nonbinary has a high school graduate
adult,nonbinary,White,education,an associates degree / some college,A White adult person who identifies as nonbinary has an associates degree / some college
adult,nonbinary,White,education,a college degree,A White adult person who identifies as nonbinary has a college degree
adult,nonbinary,White,education,a higher degree,A White adult person who identifies as nonbinary has a higher degree
adult,male,Native American,religion,spiritual,A Native American adult person who identifies as male is spiritual
adult,male,Native American,religion,non spirtual,A Native American adult person who identifies as male is non spirtual
adult,male,Native American,finstat,below the poverty line,A Native American adult person who identifies as male is below the poverty line
adult,male,Native American,finstat,working class,A Native American adult person who identifies as male is working class
adult,male,Native American,finstat,middle class,A Native American adult person who identifies as male is middle class
adult,male,Native American,finstat,upper class,A Native American adult person who identifies as male is upper class
adult,male,Native American,circumstance,in a rush,A Native American adult person who identifies as male is in a rush
adult,male,Native American,circumstance,not in a rush,A Native American adult person who identifies as male is not in a rush
adult,male,Native American,marrystat,married,A Native American adult person who identifies as male is married
adult,male,Native American,marrystat,divorced,A Native American adult person who identifies as male is divorced
adult,male,Native American,marrystat,widowed,A Native American adult person who identifies as male is widowed
adult,male,Native American,marrystat,single,A Native American adult person who identifies as male is single
adult,male,Native American,education,no high school diploma,A Native American adult person who identifies as male has no high school diploma
adult,male,Native American,education,a high school graduate,A Native American adult person who identifies as male has a high school graduate
adult,male,Native American,education,an associates degree / some college,A Native American adult person who identifies as male has an associates degree / some college
adult,male,Native American,education,a college degree,A Native American adult person who identifies as male has a college degree
adult,male,Native American,education,a higher degree,A Native American adult person who identifies as male has a higher degree
adult,male,Asian,religion,spiritual,A Asian adult person who identifies as male is spiritual
adult,male,Asian,religion,non spirtual,A Asian adult person who identifies as male is non spirtual
adult,male,Asian,finstat,below the poverty line,A Asian adult person who identifies as male is below the poverty line
adult,male,Asian,finstat,working class,A Asian adult person who identifies as male is working class
adult,male,Asian,finstat,middle class,A Asian adult person who identifies as male is middle class
adult,male,Asian,finstat,upper class,A Asian adult person who identifies as male is upper class
adult,male,Asian,circumstance,in a rush,A Asian adult person who identifies as male is in a rush
adult,male,Asian,circumstance,not in a rush,A Asian adult person who identifies as male is not in a rush
adult,male,Asian,marrystat,married,A Asian adult person who identifies as male is married
adult,male,Asian,marrystat,divorced,A Asian adult person who identifies as male is divorced
adult,male,Asian,marrystat,widowed,A Asian adult person who identifies as male is widowed
adult,male,Asian,marrystat,single,A Asian adult person who identifies as male is single
adult,male,Asian,education,no high school diploma,A Asian adult person who identifies as male has no high school diploma
adult,male,Asian,education,a high school graduate,A Asian adult person who identifies as male has a high school graduate
adult,male,Asian,education,an associates degree / some college,A Asian adult person who identifies as male has an associates degree / some college
adult,male,Asian,education,a college degree,A Asian adult person who identifies as male has a college degree
adult,male,Asian,education,a higher degree,A Asian adult person who identifies as male has a higher degree
adult,male,Black,religion,spiritual,A Black adult person who identifies as male is spiritual
adult,male,Black,religion,non spirtual,A Black adult person who identifies as male is non spirtual
adult,male,Black,finstat,below the poverty line,A Black adult person who identifies as male is below the poverty line
adult,male,Black,finstat,working class,A Black adult person who identifies as male is working class
adult,male,Black,finstat,middle class,A Black adult person who identifies as male is middle class
adult,male,Black,finstat,upper class,A Black adult person who identifies as male is upper class
adult,male,Black,circumstance,in a rush,A Black adult person who identifies as male is in a rush
adult,male,Black,circumstance,not in a rush,A Black adult person who identifies as male is not in a rush
adult,male,Black,marrystat,married,A Black adult person who identifies as male is married
adult,male,Black,marrystat,divorced,A Black adult person who identifies as male is divorced
adult,male,Black,marrystat,widowed,A Black adult person who identifies as male is widowed
adult,male,Black,marrystat,single,A Black adult person who identifies as male is single
adult,male,Black,education,no high school diploma,A Black adult person who identifies as male has no high school diploma
adult,male,Black,education,a high school graduate,A Black adult person who identifies as male has a high school graduate
adult,male,Black,education,an associates degree / some college,A Black adult person who identifies as male has an associates degree / some college
adult,male,Black,education,a college degree,A Black adult person who identifies as male has a college degree
adult,male,Black,education,a higher degree,A Black adult person who identifies as male has a higher degree
adult,male,Hispanic / Latine,religion,spiritual,A Hispanic / Latine adult person who identifies as male is spiritual
adult,male,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine adult person who identifies as male is non spirtual
adult,male,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine adult person who identifies as male is below the poverty line
adult,male,Hispanic / Latine,finstat,working class,A Hispanic / Latine adult person who identifies as male is working class
adult,male,Hispanic / Latine,finstat,middle class,A Hispanic / Latine adult person who identifies as male is middle class
adult,male,Hispanic / Latine,finstat,upper class,A Hispanic / Latine adult person who identifies as male is upper class
adult,male,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine adult person who identifies as male is in a rush
adult,male,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine adult person who identifies as male is not in a rush
adult,male,Hispanic / Latine,marrystat,married,A Hispanic / Latine adult person who identifies as male is married
adult,male,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine adult person who identifies as male is divorced
adult,male,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine adult person who identifies as male is widowed
adult,male,Hispanic / Latine,marrystat,single,A Hispanic / Latine adult person who identifies as male is single
adult,male,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine adult person who identifies as male has no high school diploma
adult,male,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine adult person who identifies as male has a high school graduate
adult,male,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine adult person who identifies as male has an associates degree / some college
adult,male,Hispanic / Latine,education,a college degree,A Hispanic / Latine adult person who identifies as male has a college degree
adult,male,Hispanic / Latine,education,a higher degree,A Hispanic / Latine adult person who identifies as male has a higher degree
adult,male,Pacific Islander,religion,spiritual,A Pacific Islander adult person who identifies as male is spiritual
adult,male,Pacific Islander,religion,non spirtual,A Pacific Islander adult person who identifies as male is non spirtual
adult,male,Pacific Islander,finstat,below the poverty line,A Pacific Islander adult person who identifies as male is below the poverty line
adult,male,Pacific Islander,finstat,working class,A Pacific Islander adult person who identifies as male is working class
adult,male,Pacific Islander,finstat,middle class,A Pacific Islander adult person who identifies as male is middle class
adult,male,Pacific Islander,finstat,upper class,A Pacific Islander adult person who identifies as male is upper class
adult,male,Pacific Islander,circumstance,in a rush,A Pacific Islander adult person who identifies as male is in a rush
adult,male,Pacific Islander,circumstance,not in a rush,A Pacific Islander adult person who identifies as male is not in a rush
adult,male,Pacific Islander,marrystat,married,A Pacific Islander adult person who identifies as male is married
adult,male,Pacific Islander,marrystat,divorced,A Pacific Islander adult person who identifies as male is divorced
adult,male,Pacific Islander,marrystat,widowed,A Pacific Islander adult person who identifies as male is widowed
adult,male,Pacific Islander,marrystat,single,A Pacific Islander adult person who identifies as male is single
adult,male,Pacific Islander,education,no high school diploma,A Pacific Islander adult person who identifies as male has no high school diploma
adult,male,Pacific Islander,education,a high school graduate,A Pacific Islander adult person who identifies as male has a high school graduate
adult,male,Pacific Islander,education,an associates degree / some college,A Pacific Islander adult person who identifies as male has an associates degree / some college
adult,male,Pacific Islander,education,a college degree,A Pacific Islander adult person who identifies as male has a college degree
adult,male,Pacific Islander,education,a higher degree,A Pacific Islander adult person who identifies as male has a higher degree
adult,male,White,religion,spiritual,A White adult person who identifies as male is spiritual
adult,male,White,religion,non spirtual,A White adult person who identifies as male is non spirtual
adult,male,White,finstat,below the poverty line,A White adult person who identifies as male is below the poverty line
adult,male,White,finstat,working class,A White adult person who identifies as male is working class
adult,male,White,finstat,middle class,A White adult person who identifies as male is middle class
adult,male,White,finstat,upper class,A White adult person who identifies as male is upper class
adult,male,White,circumstance,in a rush,A White adult person who identifies as male is in a rush
adult,male,White,circumstance,not in a rush,A White adult person who identifies as male is not in a rush
adult,male,White,marrystat,married,A White adult person who identifies as male is married
adult,male,White,marrystat,divorced,A White adult person who identifies as male is divorced
adult,male,White,marrystat,widowed,A White adult person who identifies as male is widowed
adult,male,White,marrystat,single,A White adult person who identifies as male is single
adult,male,White,education,no high school diploma,A White adult person who identifies as male has no high school diploma
adult,male,White,education,a high school graduate,A White adult person who identifies as male has a high school graduate
adult,male,White,education,an associates degree / some college,A White adult person who identifies as male has an associates degree / some college
adult,male,White,education,a college degree,A White adult person who identifies as male has a college degree
adult,male,White,education,a higher degree,A White adult person who identifies as male has a higher degree
adult,female,Native American,religion,spiritual,A Native American adult person who identifies as female is spiritual
adult,female,Native American,religion,non spirtual,A Native American adult person who identifies as female is non spirtual
adult,female,Native American,finstat,below the poverty line,A Native American adult person who identifies as female is below the poverty line
adult,female,Native American,finstat,working class,A Native American adult person who identifies as female is working class
adult,female,Native American,finstat,middle class,A Native American adult person who identifies as female is middle class
adult,female,Native American,finstat,upper class,A Native American adult person who identifies as female is upper class
adult,female,Native American,circumstance,in a rush,A Native American adult person who identifies as female is in a rush
adult,female,Native American,circumstance,not in a rush,A Native American adult person who identifies as female is not in a rush
adult,female,Native American,marrystat,married,A Native American adult person who identifies as female is married
adult,female,Native American,marrystat,divorced,A Native American adult person who identifies as female is divorced
adult,female,Native American,marrystat,widowed,A Native American adult person who identifies as female is widowed
adult,female,Native American,marrystat,single,A Native American adult person who identifies as female is single
adult,female,Native American,education,no high school diploma,A Native American adult person who identifies as female has no high school diploma
adult,female,Native American,education,a high school graduate,A Native American adult person who identifies as female has a high school graduate
adult,female,Native American,education,an associates degree / some college,A Native American adult person who identifies as female has an associates degree / some college
adult,female,Native American,education,a college degree,A Native American adult person who identifies as female has a college degree
adult,female,Native American,education,a higher degree,A Native American adult person who identifies as female has a higher degree
adult,female,Asian,religion,spiritual,A Asian adult person who identifies as female is spiritual
adult,female,Asian,religion,non spirtual,A Asian adult person who identifies as female is non spirtual
adult,female,Asian,finstat,below the poverty line,A Asian adult person who identifies as female is below the poverty line
adult,female,Asian,finstat,working class,A Asian adult person who identifies as female is working class
adult,female,Asian,finstat,middle class,A Asian adult person who identifies as female is middle class
adult,female,Asian,finstat,upper class,A Asian adult person who identifies as female is upper class
adult,female,Asian,circumstance,in a rush,A Asian adult person who identifies as female is in a rush
adult,female,Asian,circumstance,not in a rush,A Asian adult person who identifies as female is not in a rush
adult,female,Asian,marrystat,married,A Asian adult person who identifies as female is married
adult,female,Asian,marrystat,divorced,A Asian adult person who identifies as female is divorced
adult,female,Asian,marrystat,widowed,A Asian adult person who identifies as female is widowed
adult,female,Asian,marrystat,single,A Asian adult person who identifies as female is single
adult,female,Asian,education,no high school diploma,A Asian adult person who identifies as female has no high school diploma
adult,female,Asian,education,a high school graduate,A Asian adult person who identifies as female has a high school graduate
adult,female,Asian,education,an associates degree / some college,A Asian adult person who identifies as female has an associates degree / some college
adult,female,Asian,education,a college degree,A Asian adult person who identifies as female has a college degree
adult,female,Asian,education,a higher degree,A Asian adult person who identifies as female has a higher degree
adult,female,Black,religion,spiritual,A Black adult person who identifies as female is spiritual
adult,female,Black,religion,non spirtual,A Black adult person who identifies as female is non spirtual
adult,female,Black,finstat,below the poverty line,A Black adult person who identifies as female is below the poverty line
adult,female,Black,finstat,working class,A Black adult person who identifies as female is working class
adult,female,Black,finstat,middle class,A Black adult person who identifies as female is middle class
adult,female,Black,finstat,upper class,A Black adult person who identifies as female is upper class
adult,female,Black,circumstance,in a rush,A Black adult person who identifies as female is in a rush
adult,female,Black,circumstance,not in a rush,A Black adult person who identifies as female is not in a rush
adult,female,Black,marrystat,married,A Black adult person who identifies as female is married
adult,female,Black,marrystat,divorced,A Black adult person who identifies as female is divorced
adult,female,Black,marrystat,widowed,A Black adult person who identifies as female is widowed
adult,female,Black,marrystat,single,A Black adult person who identifies as female is single
adult,female,Black,education,no high school diploma,A Black adult person who identifies as female has no high school diploma
adult,female,Black,education,a high school graduate,A Black adult person who identifies as female has a high school graduate
adult,female,Black,education,an associates degree / some college,A Black adult person who identifies as female has an associates degree / some college
adult,female,Black,education,a college degree,A Black adult person who identifies as female has a college degree
adult,female,Black,education,a higher degree,A Black adult person who identifies as female has a higher degree
adult,female,Hispanic / Latine,religion,spiritual,A Hispanic / Latine adult person who identifies as female is spiritual
adult,female,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine adult person who identifies as female is non spirtual
adult,female,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine adult person who identifies as female is below the poverty line
adult,female,Hispanic / Latine,finstat,working class,A Hispanic / Latine adult person who identifies as female is working class
adult,female,Hispanic / Latine,finstat,middle class,A Hispanic / Latine adult person who identifies as female is middle class
adult,female,Hispanic / Latine,finstat,upper class,A Hispanic / Latine adult person who identifies as female is upper class
adult,female,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine adult person who identifies as female is in a rush
adult,female,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine adult person who identifies as female is not in a rush
adult,female,Hispanic / Latine,marrystat,married,A Hispanic / Latine adult person who identifies as female is married
adult,female,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine adult person who identifies as female is divorced
adult,female,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine adult person who identifies as female is widowed
adult,female,Hispanic / Latine,marrystat,single,A Hispanic / Latine adult person who identifies as female is single
adult,female,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine adult person who identifies as female has no high school diploma
adult,female,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine adult person who identifies as female has a high school graduate
adult,female,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine adult person who identifies as female has an associates degree / some college
adult,female,Hispanic / Latine,education,a college degree,A Hispanic / Latine adult person who identifies as female has a college degree
adult,female,Hispanic / Latine,education,a higher degree,A Hispanic / Latine adult person who identifies as female has a higher degree
adult,female,Pacific Islander,religion,spiritual,A Pacific Islander adult person who identifies as female is spiritual
adult,female,Pacific Islander,religion,non spirtual,A Pacific Islander adult person who identifies as female is non spirtual
adult,female,Pacific Islander,finstat,below the poverty line,A Pacific Islander adult person who identifies as female is below the poverty line
adult,female,Pacific Islander,finstat,working class,A Pacific Islander adult person who identifies as female is working class
adult,female,Pacific Islander,finstat,middle class,A Pacific Islander adult person who identifies as female is middle class
adult,female,Pacific Islander,finstat,upper class,A Pacific Islander adult person who identifies as female is upper class
adult,female,Pacific Islander,circumstance,in a rush,A Pacific Islander adult person who identifies as female is in a rush
adult,female,Pacific Islander,circumstance,not in a rush,A Pacific Islander adult person who identifies as female is not in a rush
adult,female,Pacific Islander,marrystat,married,A Pacific Islander adult person who identifies as female is married
adult,female,Pacific Islander,marrystat,divorced,A Pacific Islander adult person who identifies as female is divorced
adult,female,Pacific Islander,marrystat,widowed,A Pacific Islander adult person who identifies as female is widowed
adult,female,Pacific Islander,marrystat,single,A Pacific Islander adult person who identifies as female is single
adult,female,Pacific Islander,education,no high school diploma,A Pacific Islander adult person who identifies as female has no high school diploma
adult,female,Pacific Islander,education,a high school graduate,A Pacific Islander adult person who identifies as female has a high school graduate
adult,female,Pacific Islander,education,an associates degree / some college,A Pacific Islander adult person who identifies as female has an associates degree / some college
adult,female,Pacific Islander,education,a college degree,A Pacific Islander adult person who identifies as female has a college degree
adult,female,Pacific Islander,education,a higher degree,A Pacific Islander adult person who identifies as female has a higher degree
adult,female,White,religion,spiritual,A White adult person who identifies as female is spiritual
adult,female,White,religion,non spirtual,A White adult person who identifies as female is non spirtual
adult,female,White,finstat,below the poverty line,A White adult person who identifies as female is below the poverty line
adult,female,White,finstat,working class,A White adult person who identifies as female is working class
adult,female,White,finstat,middle class,A White adult person who identifies as female is middle class
adult,female,White,finstat,upper class,A White adult person who identifies as female is upper class
adult,female,White,circumstance,in a rush,A White adult person who identifies as female is in a rush
adult,female,White,circumstance,not in a rush,A White adult person who identifies as female is not in a rush
adult,female,White,marrystat,married,A White adult person who identifies as female is married
adult,female,White,marrystat,divorced,A White adult person who identifies as female is divorced
adult,female,White,marrystat,widowed,A White adult person who identifies as female is widowed
adult,female,White,marrystat,single,A White adult person who identifies as female is single
adult,female,White,education,no high school diploma,A White adult person who identifies as female has no high school diploma
adult,female,White,education,a high school graduate,A White adult person who identifies as female has a high school graduate
adult,female,White,education,an associates degree / some college,A White adult person who identifies as female has an associates degree / some college
adult,female,White,education,a college degree,A White adult person who identifies as female has a college degree
adult,female,White,education,a higher degree,A White adult person who identifies as female has a higher degree
senior citizen,nonbinary,Native American,religion,spiritual,A Native American senior citizen person who identifies as nonbinary is spiritual
senior citizen,nonbinary,Native American,religion,non spirtual,A Native American senior citizen person who identifies as nonbinary is non spirtual
senior citizen,nonbinary,Native American,finstat,below the poverty line,A Native American senior citizen person who identifies as nonbinary is below the poverty line
senior citizen,nonbinary,Native American,finstat,working class,A Native American senior citizen person who identifies as nonbinary is working class
senior citizen,nonbinary,Native American,finstat,middle class,A Native American senior citizen person who identifies as nonbinary is middle class
senior citizen,nonbinary,Native American,finstat,upper class,A Native American senior citizen person who identifies as nonbinary is upper class
senior citizen,nonbinary,Native American,circumstance,in a rush,A Native American senior citizen person who identifies as nonbinary is in a rush
senior citizen,nonbinary,Native American,circumstance,not in a rush,A Native American senior citizen person who identifies as nonbinary is not in a rush
senior citizen,nonbinary,Native American,marrystat,married,A Native American senior citizen person who identifies as nonbinary is married
senior citizen,nonbinary,Native American,marrystat,divorced,A Native American senior citizen person who identifies as nonbinary is divorced
senior citizen,nonbinary,Native American,marrystat,widowed,A Native American senior citizen person who identifies as nonbinary is widowed
senior citizen,nonbinary,Native American,marrystat,single,A Native American senior citizen person who identifies as nonbinary is single
senior citizen,nonbinary,Native American,education,no high school diploma,A Native American senior citizen person who identifies as nonbinary has no high school diploma
senior citizen,nonbinary,Native American,education,a high school graduate,A Native American senior citizen person who identifies as nonbinary has a high school graduate
senior citizen,nonbinary,Native American,education,an associates degree / some college,A Native American senior citizen person who identifies as nonbinary has an associates degree / some college
senior citizen,nonbinary,Native American,education,a college degree,A Native American senior citizen person who identifies as nonbinary has a college degree
senior citizen,nonbinary,Native American,education,a higher degree,A Native American senior citizen person who identifies as nonbinary has a higher degree
senior citizen,nonbinary,Asian,religion,spiritual,A Asian senior citizen person who identifies as nonbinary is spiritual
senior citizen,nonbinary,Asian,religion,non spirtual,A Asian senior citizen person who identifies as nonbinary is non spirtual
senior citizen,nonbinary,Asian,finstat,below the poverty line,A Asian senior citizen person who identifies as nonbinary is below the poverty line
senior citizen,nonbinary,Asian,finstat,working class,A Asian senior citizen person who identifies as nonbinary is working class
senior citizen,nonbinary,Asian,finstat,middle class,A Asian senior citizen person who identifies as nonbinary is middle class
senior citizen,nonbinary,Asian,finstat,upper class,A Asian senior citizen person who identifies as nonbinary is upper class
senior citizen,nonbinary,Asian,circumstance,in a rush,A Asian senior citizen person who identifies as nonbinary is in a rush
senior citizen,nonbinary,Asian,circumstance,not in a rush,A Asian senior citizen person who identifies as nonbinary is not in a rush
senior citizen,nonbinary,Asian,marrystat,married,A Asian senior citizen person who identifies as nonbinary is married
senior citizen,nonbinary,Asian,marrystat,divorced,A Asian senior citizen person who identifies as nonbinary is divorced
senior citizen,nonbinary,Asian,marrystat,widowed,A Asian senior citizen person who identifies as nonbinary is widowed
senior citizen,nonbinary,Asian,marrystat,single,A Asian senior citizen person who identifies as nonbinary is single
senior citizen,nonbinary,Asian,education,no high school diploma,A Asian senior citizen person who identifies as nonbinary has no high school diploma
senior citizen,nonbinary,Asian,education,a high school graduate,A Asian senior citizen person who identifies as nonbinary has a high school graduate
senior citizen,nonbinary,Asian,education,an associates degree / some college,A Asian senior citizen person who identifies as nonbinary has an associates degree / some college
senior citizen,nonbinary,Asian,education,a college degree,A Asian senior citizen person who identifies as nonbinary has a college degree
