Age,Gender,Race,Other Category,Option
senior citizen,nonbinary,white,education,high school graduate
senior citizen,nonbinary,white,education,associates degree / some college
senior citizen,nonbinary,white,education,college degree
senior citizen,nonbinary,white,education,higher degree
senior citizen,male,native american,religion,spiritual
senior citizen,male,native american,religion,non spirtual
senior citizen,male,native american,financial status,Below poverty line
senior citizen,male,native american,financial status,Working Class
senior citizen,male,native american,financial status,Middle Class
senior citizen,male,native american,financial status,Upper Class
senior citizen,male,native american,circumstance,rush
senior citizen,male,native american,circumstance,no rush
senior citizen,male,native american,marrystat,married
senior citizen,male,native american,marrystat,divorced
senior citizen,male,native american,marrystat,widowed
senior citizen,male,native american,marrystat,single
senior citizen,male,native american,education,no high school diploma
senior citizen,male,native american,education,high school graduate
senior citizen,male,native american,education,associates degree / some college
senior citizen,male,native american,education,college degree
senior citizen,male,native american,education,higher degree
senior citizen,male,asian,religion,spiritual
senior citizen,male,asian,religion,non spirtual
senior citizen,male,asian,financial status,Below poverty line
senior citizen,male,asian,financial status,Working Class
senior citizen,male,asian,financial status,Middle Class
senior citizen,male,asian,financial status,Upper Class
senior citizen,male,asian,circumstance,rush
senior citizen,male,asian,circumstance,no rush
senior citizen,male,asian,marrystat,married
senior citizen,male,asian,marrystat,divorced
senior citizen,male,asian,marrystat,widowed
senior citizen,male,asian,marrystat,single
senior citizen,male,asian,education,no high school diploma
senior citizen,male,asian,education,high school graduate
senior citizen,male,asian,education,associates degree / some college
senior citizen,male,asian,education,college degree
senior citizen,male,asian,education,higher degree
senior citizen,male,black,religion,spiritual
senior citizen,male,black,religion,non spirtual
senior citizen,male,black,financial status,Below poverty line
senior citizen,male,black,financial status,Working Class
senior citizen,male,black,financial status,Middle Class
senior citizen,male,black,financial status,Upper Class
senior citizen,male,black,circumstance,rush
senior citizen,male,black,circumstance,no rush
senior citizen,male,black,marrystat,married
senior citizen,male,black,marrystat,divorced
senior citizen,male,black,marrystat,widowed
senior citizen,male,black,marrystat,single
senior citizen,male,black,education,no high school diploma
senior citizen,male,black,education,high school graduate
senior citizen,male,black,education,associates degree / some college
senior citizen,male,black,education,college degree
senior citizen,male,black,education,higher degree
senior citizen,male,hispanic,religion,spiritual
senior citizen,male,hispanic,religion,non spirtual
senior citizen,male,hispanic,financial status,Below poverty line
senior citizen,male,hispanic,financial status,Working Class
senior citizen,male,hispanic,financial status,Middle Class
senior citizen,male,hispanic,financial status,Upper Class
senior citizen,male,hispanic,circumstance,rush
senior citizen,male,hispanic,circumstance,no rush
senior citizen,male,hispanic,marrystat,married
senior citizen,male,hispanic,marrystat,divorced
senior citizen,male,hispanic,marrystat,widowed
senior citizen,male,hispanic,marrystat,single
senior citizen,male,hispanic,education,no high school diploma
senior citizen,male,hispanic,education,high school graduate
senior citizen,male,hispanic,education,associates degree / some college
senior citizen,male,hispanic,education,college degree
senior citizen,male,hispanic,education,higher degree
senior citizen,male,pacific islander,religion,spiritual
senior citizen,male,pacific islander,religion,non spirtual
senior citizen,male,pacific islander,financial status,Below poverty line
senior citizen,male,pacific islander,financial status,Working Class
senior citizen,male,pacific islander,financial status,Middle Class
senior citizen,male,pacific islander,financial status,Upper Class
senior citizen,male,pacific islander,circumstance,rush
senior citizen,male,pacific islander,circumstance,no rush
senior citizen,male,pacific islander,marrystat,married
senior citizen,male,pacific islander,marrystat,divorced
senior citizen,male,pacific islander,marrystat,widowed
senior citizen,male,pacific islander,marrystat,single
senior citizen,male,pacific islander,education,no high school diploma
senior citizen,male,pacific islander,education,high school graduate
senior citizen,male,pacific islander,education,associates degree / some college
senior citizen,male,pacific islander,education,college degree
senior citizen,male,pacific islander,education,higher degree
senior citizen,male,white,religion,spiritual
senior citizen,male,white,religion,non spirtual
senior citizen,male,white,financial status,Below poverty line
senior citizen,male,white,financial status,Working Class
senior citizen,male,white,financial status,Middle Class
senior citizen,male,white,financial status,Upper Class
senior citizen,male,white,circumstance,rush
senior citizen,male,white,circumstance,no rush
senior citizen,male,white,marrystat,married
senior citizen,male,white,marrystat,divorced
senior citizen,male,white,marrystat,widowed
senior citizen,male,white,marrystat,single
senior citizen,male,white,education,no high school diploma
senior citizen,male,white,education,high school graduate
senior citizen,male,white,education,associates degree / some college
senior citizen,male,white,education,college degree
senior citizen,male,white,education,higher degree
senior citizen,female,native american,religion,spiritual
senior citizen,female,native american,religion,non spirtual
senior citizen,female,native american,financial status,Below poverty line
senior citizen,female,native american,financial status,Working Class
senior citizen,female,native american,financial status,Middle Class
senior citizen,female,native american,financial status,Upper Class
senior citizen,female,native american,circumstance,rush
senior citizen,female,native american,circumstance,no rush
senior citizen,female,native american,marrystat,married
senior citizen,female,native american,marrystat,divorced
senior citizen,female,native american,marrystat,widowed
senior citizen,female,native american,marrystat,single
senior citizen,female,native american,education,no high school diploma
senior citizen,female,native american,education,high school graduate
senior citizen,female,native american,education,associates degree / some college
senior citizen,female,native american,education,college degree
senior citizen,female,native american,education,higher degree
senior citizen,female,asian,religion,spiritual
senior citizen,female,asian,religion,non spirtual
senior citizen,female,asian,financial status,Below poverty line
senior citizen,female,asian,financial status,Working Class
senior citizen,female,asian,financial status,Middle Class
senior citizen,female,asian,financial status,Upper Class
senior citizen,female,asian,circumstance,rush
senior citizen,female,asian,circumstance,no rush
senior citizen,female,asian,marrystat,married
senior citizen,female,asian,marrystat,divorced
senior citizen,female,asian,marrystat,widowed
senior citizen,female,asian,marrystat,single
senior citizen,female,asian,education,no high school diploma
senior citizen,female,asian,education,high school graduate
senior citizen,female,asian,education,associates degree / some college
senior citizen,female,asian,education,college degree
senior citizen,female,asian,education,higher degree
senior citizen,female,black,religion,spiritual
senior citizen,female,black,religion,non spirtual
senior citizen,female,black,financial status,Below poverty line
senior citizen,female,black,financial status,Working Class
senior citizen,female,black,financial status,Middle Class
senior citizen,female,black,financial status,Upper Class
senior citizen,female,black,circumstance,rush
senior citizen,female,black,circumstance,no rush
senior citizen,female,black,marrystat,married
senior citizen,female,black,marrystat,divorced
senior citizen,female,black,marrystat,widowed
senior citizen,female,black,marrystat,single
senior citizen,female,black,education,no high school diploma
senior citizen,female,black,education,high school graduate
senior citizen,female,black,education,associates degree / some college
senior citizen,female,black,education,college degree
senior citizen,female,black,education,higher degree
senior citizen,female,hispanic,religion,spiritual
senior citizen,female,hispanic,religion,non spirtual
senior citizen,female,hispanic,financial status,Below poverty line
senior citizen,female,hispanic,financial status,Working Class
senior citizen,female,hispanic,financial status,Middle Class
senior citizen,female,hispanic,financial status,Upper Class
senior citizen,female,hispanic,circumstance,rush
senior citizen,female,hispanic,circumstance,no rush
senior citizen,female,hispanic,marrystat,married
senior citizen,female,hispanic,marrystat,divorced
senior citizen,female,hispanic,marrystat,widowed
senior citizen,female,hispanic,marrystat,single
senior citizen,female,hispanic,education,no high school diploma
senior citizen,female,hispanic,education,high school graduate
senior citizen,female,hispanic,education,associates degree / some college
senior citizen,female,hispanic,education,college degree
senior citizen,female,hispanic,education,higher degree
senior citizen,female,pacific islander,religion,spiritual
senior citizen,female,pacific islander,religion,non spirtual
senior citizen,female,pacific islander,financial status,Below poverty line
senior citizen,female,pacific islander,financial status,Working Class
senior citizen,female,pacific islander,financial status,Middle Class
senior citizen,female,pacific islander,financial status,Upper Class
senior citizen,female,pacific islander,circumstance,rush
senior citizen,female,pacific islander,circumstance,no rush
senior citizen,female,pacific islander,marrystat,married
senior citizen,female,pacific islander,marrystat,divorced
senior citizen,female,pacific islander,marrystat,widowed
senior citizen,female,pacific islander,marrystat,single
senior citizen,female,pacific islander,education,no high school diploma
senior citizen,female,pacific islander,education,high school graduate
senior citizen,female,pacific islander,education,associates degree / some college
senior citizen,female,pacific islander,education,college degree
senior citizen,female,pacific islander,education,higher degree
senior citizen,female,white,religion,spiritual
senior citizen,female,white,religion,non spirtual
senior citizen,female,white,financial status,Below poverty line
senior citizen,female,white,financial status,Working Class
senior citizen,female,white,financial status,Middle Class
senior citizen,female,white,financial status,Upper Class
senior citizen,female,white,circumstance,rush
senior citizen,female,white,circumstance,no rush
senior citizen,female,white,marrystat,married
senior citizen,female,white,marrystat,divorced
senior citizen,female,white,marrystat,widowed
senior citizen,female,white,marrystat,single
senior citizen,female,white,education,no high school diploma
senior citizen,female,white,education,high school graduate
senior citizen,female,white,education,associates degree / some college
senior citizen,female,white,education,college degree
senior citizen,female,white,education,higher degree
